,TIC ID,TFOPWG Disposition
399,170102285,KP
400,172464366,FP
401,306362738,KP
402,317548889,
403,339672028,
404,365639282,
405,393414358,KP
406,427348923,
407,427352241,FP
408,260708537,
409,31852980,
410,31852980,
411,452866790,
412,455096220,KP
413,455135327,KP
414,468987719,KP
415,17746821,KP
416,19025965,
417,19519368,
418,22529346,KP
419,88977253,FP
420,108645766,FP
421,121338379,FP
422,123702439,
423,134200185,
424,134537478,KP
425,172193428,
426,186812530,PC
427,219164808,
428,268644785,KP
429,274138511,FP
430,348538431,
431,425206121,KP
432,453211454,
433,238086647,
434,440777904,KP
435,119292328,
436,431999925,FP
437,366576758,KP
438,366622912,
439,318937509,FP
440,308307606,FP
441,264979636,
442,218795833,
443,148479278,
444,27649847,
445,19451711,
446,93125144,
447,365690646,
448,71512186,
449,200593988,
450,148228019,
451,403693875,FP
452,438490744,FP
453,387690507,
454,302895996,FP
455,144700903,
456,309791156,
457,281909674,KP
458,280210963,KP
459,234825296,KP
460,234112540,KP
461,237751146,
462,238004786,
463,200322593,
464,143271144,
465,49771092,
466,53593457,FP
467,50618703,
468,37168957,KP
469,36440357,KP
470,36352297,KP
471,42821097,KP
472,32830028,FP
473,311183180,FP
474,311183180,FP
475,192826603,KP
476,44737596,
477,161477033,FP
478,161477033,
479,161477033,
480,407966340,
481,170849515,
482,59003115,
483,55488511,
484,207110080,
485,209459275,
486,101011575,
487,377064495,
488,377064495,
489,377064495,
490,413248763,
491,405454160,
492,1003831,
493,1103432,FP
494,1133072,FP
495,13349647,KP
496,37575651,PC
497,123482865,PC
498,126733133,
499,270468559,KP
500,289535142,FP
501,296780789,
502,315002523,KP
503,386435344,
504,408310006,CP
505,410094645,FP
506,423275733,KP
507,238061845,
508,81419525,
509,180987952,
510,287474726,
511,131743355,
512,74482749,
513,190990336,FP
514,131979339,
515,294090620,FP
516,130415266,
517,412961700,
518,270841724,
519,146261607,FP
520,196286587,FP
521,128463355,
522,146406806,
523,287329267,
524,144956678,
525,146208651,FP
526,81429971,
527,145982812,FP
528,134396419,
529,141363913,
530,175176327,
531,262746281,
532,145027461,
533,181304295,
534,122262940,FP
535,153651591,
536,186547153,FP
537,134404603,
538,80275202,FP
539,154459165,
540,284738182,
541,77527511,
542,118021229,
543,190496853,
544,145879095,
545,141227133,
546,173640199,
547,267527924,FP
548,296739893,
549,30828562,FP
550,83092282,
551,101395259,FP
552,399870368,CP
553,379929661,CP
554,65412605,
555,365781372,FP
556,281408474,
557,293853437,
558,123898871,FP
559,97158538,
560,349790953,FP
561,348755723,FP
562,344926234,FP
563,286132427,FP
564,146463781,FP
565,133334108,
566,78154865,FP
567,82362447,FP
568,147977348,
569,49079670,
570,79292541,
571,432008938,FP
572,63303499,
573,157568289,
574,238197709,
575,92992033,
576,78672342,FP
577,35582553,
578,349373192,FP
579,72090501,
580,22221375,
581,33153766,FP
582,35009898,
583,35516889,KP
584,36734222,KP
585,48103627,CP
586,48476907,
587,48476908,
588,53189332,KP
589,53735810,KP
590,54085154,FP
591,54962195,
592,54962195,
593,55092869,KP
594,73723286,FP
595,82128636,
596,101955023,KP
