,TIC ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
10,355703913,20190415,,,138-000046,00030587-6228096,,J000305.86-622809.6,4904523077718046720,29725147,,STAR,tmgaia2,0.774459635642891,-62.4693378500782,tmgaia2,2.89427,0.0239757,4.91111,0.0246522,gaia2,1.93638,0.0149344,gaia2,312.354737192315,-53.765657697392,323.101046305639,-54.6937908407381,14.568,0.045,13.857,0.137,,,,,,,,,,,12.513,0.024,12.139,0.022,12.095,0.019,AAA-222-111-000-0-0,,12.046,0.023,12.098,0.022,12.596,0.433,8.798,,13.679,0.000279,13.183,0.006,rered,spect,5435.56,86.8012,4.46889,,0.245387,0.0875268,0.940697,,0.95,,1.14123,,DWARF,0.695938647,,508.842,3.896,0.015262,,,,,,,,,schlegel,,,,,,,,,,,,,bj2018,,,spect,14.0824,0.001367,13.129,0.001095,1,,ucac4,apassdr9,,0.434822847408842,0.382293026552723,0.77448659543072,-62.4693167050237,0.0132343213534486,0.0118572276705273,1,0,508424694
11,388104525,20190415,,,125-003516,03434402-6511378,,J034344.04-651137.6,4672607178880426624,31806088,,STAR,tmgaia2,55.93342240979,-65.1938512272516,tmgaia2,21.1255,0.032314,16.543,0.0432039,gaia2,3.27755,0.0217442,gaia2,279.719704283937,-43.3667344400738,349.819091231144,-76.1858907325663,13.039,0.04,12.314,0.057,,,,,,,,,,,10.924,0.023,10.612,0.024,10.545,0.021,AAA-222-111-000-0-0,,10.476,0.023,10.522,0.02,10.444,0.051,9.565,,12.1014,0.000279,11.6035,0.006,rered,gaia2,5650.0,129.426,4.3263,0.0738158,,,1.13732,0.0577764,1.0,0.121147,0.679754,0.140611,DWARF,1.18755519,0.0440175,302.448,2.004,0.0719783,0.0101254452,55.0,0.0460761972,,,0.00174567569,0.0123175,0.00793339,schlegel,0.110149,0.132145,0.049103,0.0664497,0.129807,0.151414,0.0969009,0.0507307,0.0316389,0.0563961,1.991,2.017,bj2018,162.628,96.2245,dered,12.5072,0.001012,11.5524,0.000917,1,,ucac4,apassdr9,,0.594797166887687,0.670038454521734,55.9336392066496,-65.1937800006022,0.0183558210402938,0.0225036051260997,1,0,523605114
12,97409519,20190415,,,297-232291,22105143-3044588,,J221051.43-304458.9,6614751532833886464,17390692,,STAR,tmgaia2,332.714340885726,-30.7496563586763,tmgaia2,-0.709759,0.0515152,-14.5156,0.0486337,gaia2,2.20081,0.0370118,gaia2,17.2570128851611,-54.8663329424449,323.515800218495,-18.2028868733814,13.255,0.018,12.724,0.092,,,,,,,,,,,11.65,0.023,11.419,0.024,11.31,0.023,AAA-222-111-000-0-0,,11.307,0.023,11.347,0.022,11.255,0.159,8.915,,12.5754,0.000223,12.1893,0.0063,rered,gaia2,6147.0,128.956,4.45576,0.0852356,,,1.05985,0.0531959,1.17,0.16258,0.982761,0.224926,DWARF,1.44490588,0.06310015,448.637,7.508,0.0193101,0.002677395,49.0,0.0231135357,,,0.000400521967,0.00277731,0.00257748,panstarrs,0.150498,0.174661,0.0460236,0.0603683,0.215175,0.234676,0.0897692,0.080702,0.0599147,0.0662856,7.384,7.632,bj2018,128.918,128.993,dered,12.8656,0.001209,12.1327,0.000706,1,,ucac4,apassdr9,,0.828586085810457,0.754367146907199,332.714337329904,-30.7497188563991,0.0277104656927284,0.0286645595358549,1,0,1720342392
13,25155310,20190415,,9153-00833-1,104-003699,04132972-6913365,,J041329.86-691335.9,4666498154837086208,32010766,,STAR,tmgaia2,63.3739396231274,-69.226822697583,tmgaia2,63.1342,0.0446038,53.4329,0.0391922,gaia2,4.58952,0.0197281,gaia2,282.359136621221,-38.8334472391523,332.989996042383,-79.7228266375511,11.829,0.161,10.994,0.012,,,,,,,,,,,9.962,0.021,9.659,0.023,9.598,0.021,AAA-222-111-000-0-0,,9.566,0.023,9.608,0.02,9.565,0.035,8.667,,11.0665,0.000306,10.6103,0.006,rered,spect,5675.54,116.592,4.25432,0.0768179,0.20683,0.0458093,1.24175,0.0610804,1.01,0.123355,0.527499,0.111993,DWARF,1.44141793,0.05405165,216.526,0.932,0.0363693,0.0105255246,135.0,0.0260740723,,,0.00417261664,0.0120602,0.00899085,schlegel,0.12568,0.12103,0.057708,0.0644528,0.108331,0.115654,0.0741428,0.079493,0.0495874,0.0585159,0.928,0.936,bj2018,109.756,123.428,spect,11.4333,0.001152,10.5619,0.00072,1,,tycho2v3,tycho2b3,,0.840412155052251,0.607827316738338,63.374706049247,-69.2265926409616,0.0249194439417113,0.0205715832282742,1,0,525490640
14,281541555,20190415,,,169-000368,00264858-5618580,,J002648.61-561857.9,4919771654727611008,27135638,,STAR,tmgaia2,6.70247349041089,-56.3161336457353,tmgaia2,21.4603,0.0272348,7.31574,0.0239794,gaia2,2.17475,0.0187639,gaia2,309.865642193456,-60.4793364145459,333.752425271481,-52.1103217701648,14.431,0.027,13.783,0.126,,,,,,,,,,,12.366,0.024,11.993,0.022,11.965,0.024,AAA-222-111-000-0-0,,11.88,0.024,11.953,0.021,11.821,0.232,8.675,,13.527,0.000263,13.0417,0.006,rered,gaia2,5483.0,122.0,4.53376,,,,0.877585,,0.96,,1.42038,,DWARF,0.627113163,,453.808,3.894,0.0110309,8.03069e-06,,,,,,8.09492e-06,7.96646e-06,schlegel,,,,,,,,,,,3.861,3.927,bj2018,,,dered,13.9188,0.001379,12.9872,0.000674,1,,ucac4,apassdr9,,0.479033924247361,0.371883840724963,6.70264009124788,-56.3161021475222,0.0147578522125657,0.0122901684227396,1,0,509896798
15,238176110,20190415,,9342-01675-1,100-105289,23512286-7009103,,J235123.05-700910.3,6386751579018596864,34541973,,STAR,tmgaia2,357.845214226487,-70.1528545479049,tmgaia2,96.1845,0.0414632,-1.7465,0.0383827,gaia2,6.64038,0.0228382,gaia2,310.221312570971,-46.1160568864433,311.323795395503,-59.0824456489102,12.734,0.307,11.98,0.022,,,,,,,,,,,10.275,0.026,9.838,0.022,9.712,0.023,AAA-222-111-000-0-0,,9.677,0.022,9.752,0.02,9.667,0.039,8.958,0.454,11.6236,0.000313,11.0443,0.006,rered,spect,4935.4,114.943,4.43167,0.0852377,0.32,0.08,0.906655,0.0553769,0.81,0.0958693,1.08682,0.270645,DWARF,0.439407945,0.01679495,149.942,0.5175,0.0177034,0.01053743,76.0,0.00307783019,,,0.001782842,0.00940586,0.011669,schlegel,0.0638656,0.127873,0.0553276,0.0554261,0.246043,0.295248,0.102323,0.0681524,0.0159355,0.0176544,0.516,0.519,bj2018,91.4779,138.408,spect,12.1275,0.001221,10.9963,0.000985,1,,tycho2v3,tycho2b3,,0.785555647429403,0.595221629694029,357.846433999892,-70.1528620717041,0.0199940224945024,0.0185710072746064,1,0,1727065775
16,322307342,20190415,,,156-000913,01000141-5854172,,J010001.44-585417.0,4904279261014267648,27147535,,STAR,tmgaia2,15.0058892828148,-58.904756866024,tmgaia2,22.5217,0.0485185,7.59426,0.0413473,gaia2,1.62712,0.0277561,gaia2,300.828961416527,-58.18842488733,336.400878466941,-57.0178805310221,12.812,0.022,12.312,0.046,,,,,,,,,,,11.25,0.026,10.985,0.024,10.949,0.019,AAA-222-111-000-0-0,,10.912,0.022,10.943,0.021,11.003,0.1,9.004,,12.1631,0.000186,11.7806,0.006,rered,spect,5704.8,124.789,3.8427,0.0769219,-0.25,0.0707107,2.00441,0.105699,1.02,0.124059,0.126661,0.0275615,DWARF,3.83379316,0.184727,603.955,10.2025,0.0118194,0.01020203,29.0,0.0113690663,,,0.000315690151,0.00834036,0.0120637,schlegel,0.145987,0.102132,0.11785,0.0935472,0.0320704,0.0230527,0.0854936,0.0683502,0.178081,0.191373,10.034,10.371,bj2018,115.001,134.577,spect,12.4545,0.001725,11.7288,0.000937,1,,ucac4,apassdr9,,0.86402369167503,0.641195441758977,15.0060770379339,-58.9047241686523,0.0253803645796075,0.0200095621783023,1,0,514159203
17,266980320,20190415,,8834-00859-1,166-215363,23181364-5654139,,,6492940453524576128,29709344,,STAR,tmgaia2,349.556791231268,-56.9038988485241,tmgaia2,313.918,0.0388128,-20.1772,0.0434263,gaia2,10.59,0.0281131,gaia2,325.611044836118,-55.9280497969211,321.703125929448,-46.8240160969898,10.596,0.037,9.809,0.003,,,,,,,,,,,8.557,0.02,8.254,0.042,8.158,0.033,AAA-111-111-000-0-0,,,,,,,,,,9.64956,0.000219,9.179,0.006,gbprp,gaia2,5527.0,126.413,4.38107,0.0800925,,,1.05168,0.0549497,0.97,0.120939,0.833917,0.186147,DWARF,0.9298624,0.0215656,94.1719,0.2512,,,56.0,0.00084635854,,,0.00373383658,,,,0.0865984,0.155279,0.0447819,0.0651176,0.162456,0.209839,0.0826475,0.0775376,0.0207796,0.0223516,0.2506,0.2518,bj2018,149.639,103.188,dered0,10.0349,0.000892,9.13306,0.000771,1,,tycho2v3,tycho2b3,,0.684511822540872,0.673458599570233,349.559266469594,-56.9039857470387,0.0191575656329384,0.0217388326866183,1,0,1725195198
18,278683844,20190415,31609.0,8543-00273-1,160-008199,06365711-5800548,,J063657.18-580057.1,5484357574075622784,27307389,,STAR,tmgaia2,99.2380026664762,-58.015267921449,tmgaia2,51.4969,0.0416628,-205.6,0.0494154,gaia2,14.9819,0.0224369,gaia2,267.377116800013,-24.6161885678355,120.863121561622,-80.4584028314103,10.912,0.043,10.07,0.03,,,,,,,,,,,8.539,0.024,8.125,0.034,8.032,0.02,AAA-111-111-000-0-0,,7.972,0.024,8.045,0.02,7.982,0.018,7.94,0.148,9.82091,0.000399,9.2789,0.006,gbprp,gaia2,5130.0,124.759,4.5453,0.0838474,,,0.819657,0.048995,0.86,0.102503,1.56172,0.376676,DWARF,0.4192068,0.0106725348,66.6187,0.1003,,,108.0,0.00210125,,,0.0168074369,,,,0.092063,0.112943,0.0467156,0.0512744,0.336137,0.417215,0.0826665,0.0850284,0.00884697,0.0124981,0.1002,0.1004,bj2018,119.358,130.161,dered0,10.2883,0.001624,9.23595,0.001978,1,,hipvmag,apassdr9,,0.738648945656771,0.766311968850862,99.2384212535656,-58.0161531443449,0.018967760991205,0.0239152973302619,1,0,568809034
19,278683844,20190415,31609.0,8543-00273-1,160-008199,06365711-5800548,,J063657.18-580057.1,5484357574075622784,27307389,,STAR,tmgaia2,99.2380026664762,-58.015267921449,tmgaia2,51.4969,0.0416628,-205.6,0.0494154,gaia2,14.9819,0.0224369,gaia2,267.377116800013,-24.6161885678355,120.863121561622,-80.4584028314103,10.912,0.043,10.07,0.03,,,,,,,,,,,8.539,0.024,8.125,0.034,8.032,0.02,AAA-111-111-000-0-0,,7.972,0.024,8.045,0.02,7.982,0.018,7.94,0.148,9.82091,0.000399,9.2789,0.006,gbprp,gaia2,5130.0,124.759,4.5453,0.0838474,,,0.819657,0.048995,0.86,0.102503,1.56172,0.376676,DWARF,0.4192068,0.0106725348,66.6187,0.1003,,,108.0,0.00210125,,,0.0168074369,,,,0.092063,0.112943,0.0467156,0.0512744,0.336137,0.417215,0.0826665,0.0850284,0.00884697,0.0124981,0.1002,0.1004,bj2018,119.358,130.161,dered0,10.2883,0.001624,9.23595,0.001978,1,,hipvmag,apassdr9,,0.738648945656771,0.766311968850862,99.2384212535656,-58.0161531443449,0.018967760991205,0.0239152973302619,1,0,568809034
