,TIC ID,dataURL
69,25155310,mast:TESS/product/tess2018206190142-s0001-s0009-0000000025155310-00205_dvt.fits
70,25155310,mast:TESS/product/tess2018206190142-s0001-s0006-0000000025155310-00196_dvt.fits
71,25155310,mast:TESS/product/tess2019085135100-s0010-0000000025155310-0140-s_lc.fits
72,25155310,mast:TESS/product/tess2019112060037-s0011-0000000025155310-0143-s_lc.fits
73,25155310,mast:TESS/product/tess2018206190142-s0001-s0002-0000000025155310-00111_dvt.fits
74,25155310,mast:TESS/product/tess2018234235059-s0002-0000000025155310-0121-s_lc.fits
75,25155310,mast:TESS/product/tess2019140104343-s0012-0000000025155310-0144-s_lc.fits
76,25155310,mast:TESS/product/tess2019169103026-s0013-0000000025155310-0146-s_lc.fits
77,25155310,mast:TESS/product/tess2018206190142-s0001-s0013-0000000025155310-00226_dvt.fits
78,281541555,mast:TESS/product/tess2018206045859-s0001-0000000281541555-0120-s_lc.fits
79,281541555,mast:TESS/product/tess2018234235059-s0002-0000000281541555-0121-s_lc.fits
80,281541555,mast:TESS/product/tess2018206190142-s0001-s0002-0000000281541555-00111_dvt.fits
81,238176110,mast:TESS/product/tess2018206045859-s0001-0000000238176110-0120-s_lc.fits
82,266980320,mast:TESS/product/tess2018206045859-s0001-0000000266980320-0120-s_lc.fits
83,278683844,mast:TESS/product/tess2018319095959-s0005-0000000278683844-0125-s_lc.fits
84,278683844,mast:TESS/product/tess2018292075959-s0004-0000000278683844-0124-s_lc.fits
85,278683844,mast:TESS/product/tess2018206045859-s0001-0000000278683844-0120-s_lc.fits
86,278683844,mast:TESS/product/tess2019032160000-s0008-0000000278683844-0136-s_lc.fits
87,278683844,mast:TESS/product/tess2018263035959-s0003-0000000278683844-0123-s_lc.fits
88,278683844,mast:TESS/product/tess2018349182459-s0006-0000000278683844-0126-s_lc.fits
89,278683844,mast:TESS/product/tess2018206190142-s0001-s0003-0000000278683844-00129_dvt.fits
90,278683844,mast:TESS/product/tess2019058134432-s0009-0000000278683844-0139-s_lc.fits
91,278683844,mast:TESS/product/tess2018206190142-s0001-s0009-0000000278683844-00205_dvt.fits
92,278683844,mast:TESS/product/tess2018206190142-s0001-s0006-0000000278683844-00196_dvt.fits
93,278683844,mast:TESS/product/tess2019085135100-s0010-0000000278683844-0140-s_lc.fits
94,278683844,mast:TESS/product/tess2019112060037-s0011-0000000278683844-0143-s_lc.fits
95,278683844,mast:TESS/product/tess2018234235059-s0002-0000000278683844-0121-s_lc.fits
96,278683844,mast:TESS/product/tess2018206190142-s0001-s0002-0000000278683844-00111_dvt.fits
97,278683844,mast:TESS/product/tess2019140104343-s0012-0000000278683844-0144-s_lc.fits
98,278683844,mast:TESS/product/tess2019169103026-s0013-0000000278683844-0146-s_lc.fits
99,278683844,mast:TESS/product/tess2018206190142-s0001-s0013-0000000278683844-00226_dvt.fits
100,278683844,mast:TESS/product/tess2018319095959-s0005-0000000278683844-0125-s_lc.fits
101,278683844,mast:TESS/product/tess2018292075959-s0004-0000000278683844-0124-s_lc.fits
102,278683844,mast:TESS/product/tess2018206045859-s0001-0000000278683844-0120-s_lc.fits
103,278683844,mast:TESS/product/tess2019032160000-s0008-0000000278683844-0136-s_lc.fits
104,278683844,mast:TESS/product/tess2018263035959-s0003-0000000278683844-0123-s_lc.fits
105,278683844,mast:TESS/product/tess2018349182459-s0006-0000000278683844-0126-s_lc.fits
106,278683844,mast:TESS/product/tess2018206190142-s0001-s0003-0000000278683844-00129_dvt.fits
107,278683844,mast:TESS/product/tess2019058134432-s0009-0000000278683844-0139-s_lc.fits
108,278683844,mast:TESS/product/tess2018206190142-s0001-s0009-0000000278683844-00205_dvt.fits
109,278683844,mast:TESS/product/tess2018206190142-s0001-s0006-0000000278683844-00196_dvt.fits
110,278683844,mast:TESS/product/tess2019085135100-s0010-0000000278683844-0140-s_lc.fits
111,278683844,mast:TESS/product/tess2019112060037-s0011-0000000278683844-0143-s_lc.fits
112,278683844,mast:TESS/product/tess2018234235059-s0002-0000000278683844-0121-s_lc.fits
113,278683844,mast:TESS/product/tess2018206190142-s0001-s0002-0000000278683844-00111_dvt.fits
114,278683844,mast:TESS/product/tess2019140104343-s0012-0000000278683844-0144-s_lc.fits
115,278683844,mast:TESS/product/tess2019169103026-s0013-0000000278683844-0146-s_lc.fits
116,278683844,mast:TESS/product/tess2018206190142-s0001-s0013-0000000278683844-00226_dvt.fits
117,394137592,mast:TESS/product/tess2018206045859-s0001-0000000394137592-0120-s_lc.fits
118,207081058,mast:TESS/product/tess2018206045859-s0001-0000000207081058-0120-s_lc.fits
119,231702397,mast:TESS/product/tess2018206045859-s0001-0000000231702397-0120-s_lc.fits
120,290131778,mast:TESS/product/tess2018206045859-s0001-0000000290131778-0120-s_lc.fits
121,29831208,mast:TESS/product/tess2019006130736-s0007-0000000029831208-0131-s_lc.fits
122,29831208,mast:TESS/product/tess2018319095959-s0005-0000000029831208-0125-s_lc.fits
123,29831208,mast:TESS/product/tess2018292075959-s0004-0000000029831208-0124-s_lc.fits
124,29831208,mast:TESS/product/tess2019032160000-s0008-0000000029831208-0136-s_lc.fits
125,29831208,mast:TESS/product/tess2018263035959-s0003-0000000029831208-0123-s_lc.fits
126,29831208,mast:TESS/product/tess2018349182459-s0006-0000000029831208-0126-s_lc.fits
127,29831208,mast:TESS/product/tess2018206190142-s0001-s0003-0000000029831208-00129_dvt.fits
128,29831208,mast:TESS/product/tess2019058134432-s0009-0000000029831208-0139-s_lc.fits
129,29831208,mast:TESS/product/tess2018206190142-s0001-s0009-0000000029831208-00205_dvt.fits
130,29831208,mast:TESS/product/tess2018206190142-s0001-s0006-0000000029831208-00196_dvt.fits
131,29831208,mast:TESS/product/tess2019085135100-s0010-0000000029831208-0140-s_lc.fits
132,29831208,mast:TESS/product/tess2019112060037-s0011-0000000029831208-0143-s_lc.fits
133,29831208,mast:TESS/product/tess2018206045859-s0001-0000000029831208-0120-s_lc.fits
134,29831208,mast:TESS/product/tess2019140104343-s0012-0000000029831208-0144-s_lc.fits
135,29831208,mast:TESS/product/tess2019169103026-s0013-0000000029831208-0146-s_lc.fits
136,29831208,mast:TESS/product/tess2018206190142-s0001-s0013-0000000029831208-00226_dvt.fits
137,52368076,mast:TESS/product/tess2018206045859-s0001-0000000052368076-0120-s_lc.fits
138,52368076,mast:TESS/product/tess2018206190142-s0001-s0002-0000000052368076-00111_dvt.fits
139,52368076,mast:TESS/product/tess2018234235059-s0002-0000000052368076-0121-s_lc.fits
140,52368076,mast:TESS/product/tess2018206045859-s0001-0000000052368076-0120-s_lc.fits
141,52368076,mast:TESS/product/tess2018206190142-s0001-s0002-0000000052368076-00111_dvt.fits
142,52368076,mast:TESS/product/tess2018234235059-s0002-0000000052368076-0121-s_lc.fits
143,52368076,mast:TESS/product/tess2018206045859-s0001-0000000052368076-0120-s_lc.fits
